accuracy_total,accuracy_druggable,accuracy_non_druggable
0.6675,0.5733333333333334,0.7616666666666667
0.69,0.63,0.75
0.68,0.605,0.755
0.6783333333333333,0.5916666666666667,0.765
0.6575,0.5816666666666667,0.7333333333333333
0.6666666666666666,0.59,0.7433333333333333
0.6708333333333333,0.5666666666666667,0.775
0.6758333333333333,0.5683333333333334,0.7833333333333333
0.67,0.565,0.775
0.685,0.62,0.75
0.6741666666666667,0.5916666666666667,0.7566666666666667
0.6883333333333334,0.61,0.7666666666666667
0.6825,0.5866666666666667,0.7783333333333333
0.6858333333333333,0.6,0.7716666666666666
0.6708333333333333,0.5833333333333334,0.7583333333333333
0.7,0.625,0.775
0.6558333333333334,0.5766666666666667,0.735
0.675,0.5766666666666667,0.7733333333333333
0.6933333333333334,0.6083333333333333,0.7783333333333333
0.6791666666666667,0.5966666666666667,0.7616666666666667
0.6925,0.6133333333333333,0.7716666666666666
0.6833333333333333,0.6066666666666667,0.76
0.6808333333333333,0.5983333333333334,0.7633333333333333
0.6841666666666667,0.5766666666666667,0.7916666666666666
0.6833333333333333,0.61,0.7566666666666667
0.68,0.5933333333333334,0.7666666666666667
0.7058333333333333,0.625,0.7866666666666666
0.6891666666666667,0.615,0.7633333333333333
0.6866666666666666,0.6066666666666667,0.7666666666666667
0.6916666666666667,0.6083333333333333,0.775
0.6808333333333333,0.5916666666666667,0.77
0.695,0.6116666666666667,0.7783333333333333
0.6775,0.605,0.75
0.6825,0.585,0.78
0.6766666666666666,0.5733333333333334,0.78
0.6716666666666666,0.5716666666666667,0.7716666666666666
0.6866666666666666,0.5783333333333334,0.795
0.6758333333333333,0.5983333333333334,0.7533333333333333
0.6941666666666667,0.6066666666666667,0.7816666666666666
0.67,0.5916666666666667,0.7483333333333333
0.6891666666666667,0.5766666666666667,0.8016666666666666
0.6891666666666667,0.615,0.7633333333333333
0.6808333333333333,0.6,0.7616666666666667
0.6791666666666667,0.5966666666666667,0.7616666666666667
0.67,0.5633333333333334,0.7766666666666666
0.6866666666666666,0.6033333333333334,0.77
0.685,0.6166666666666667,0.7533333333333333
0.68,0.615,0.745
0.68,0.5883333333333334,0.7716666666666666
0.6925,0.61,0.775
0.6791666666666667,0.585,0.7733333333333333
0.6858333333333333,0.61,0.7616666666666667
0.67,0.5833333333333334,0.7566666666666667
0.675,0.5883333333333334,0.7616666666666667
0.6841666666666667,0.6016666666666667,0.7666666666666667
0.6775,0.6066666666666667,0.7483333333333333
0.6775,0.5783333333333334,0.7766666666666666
0.685,0.6016666666666667,0.7683333333333333
0.6716666666666666,0.5833333333333334,0.76
0.6866666666666666,0.5866666666666667,0.7866666666666666
